Omega_ash,chi2
0.0,267101818.73271355
0.0001,264426932.37346655
0.0002,261765615.69999668
0.0003,259117867.04896963
0.0004,256483684.75741285
0.0005,253863067.16273156
0.0006,251256012.6026852
0.0007,248662519.41541004
0.0008,246082585.9393883
0.0009,243516210.51349452
0.001,240963391.47693506
0.0011,238424127.1693061
0.0012,235898415.93055147
0.0013,233386256.10100722
0.0014,230887646.02133146
0.0015,228402584.03257743
0.0016,225931068.47615594
0.0017,223473097.69384038
0.0018,221028670.02776104
0.0019,218597783.82042158
0.002,216180437.41469133
0.0021,213776629.1537876
0.0022,211386357.38130212
0.0023,209009620.44119954
0.0024,206646416.67778015
0.0025,204296744.4357296
0.0026,201960602.0600949
0.0027,199637987.89627838
0.0028,197328900.29003835
0.0029,195033337.58752495
0.003,192751298.1352098
0.0031,190482780.27995968
0.0032,188227782.3689845
0.0033,185986302.74986544
0.0034,183758339.7705503
0.0035,181543891.7793288
0.0036,179342957.12487388
0.0037,177155534.1562077
0.0038,174981621.22272402
0.0039,172821216.6741552
0.004,170674318.8606305
0.0041,168540926.13261163
0.0042,166421036.84092695
0.0043,164314649.33677584
0.0044,162221761.97170278
0.0045,160142373.09763074
0.0046,158076481.06682926
0.0047,156024084.23193455
0.0048,153985180.94594264
0.0049,151959769.56220743
0.005,149947848.43444604
0.0051,147949415.91673565
0.0052,145964470.36350545
0.0053,143993010.1295511
0.0054,142035033.5700385
0.0055,140090539.04046518
0.0056,138159524.89671642
0.0057,136241989.49501863
0.0058,134337931.19196302
0.0059,132447348.34450457
0.006,130570239.30995357
0.0061,128706602.44597808
0.0062,126856436.11060214
0.0063,125019738.6622102
0.0064,123196508.45955269
0.0065,121386743.86172853
0.0066,119590443.22819775
0.0067,117807604.91878065
0.0068,116038227.29365383
0.0069,114282308.71335626
0.007,112539847.53877968
0.0071,110810842.13116094
0.0072,109095290.85213035
0.0073,107393192.06363711
0.0074,105704544.12800336
0.0075,104029345.40791735
0.0076,102367594.26641256
0.0077,100719289.06688529
0.0078,99084428.1730789
0.0079,97463009.94910787
0.008,95855032.75943342
0.0081,94260494.96887869
0.0082,92679394.94261771
0.0083,91111731.04618818
0.0084,89557501.6454731
0.0085,88016705.10672331
0.0086,86489339.7965415
0.0087,84975404.08188048
0.0088,83474896.33005475
0.0089,81987814.90873677
0.009,80514158.18594879
0.0091,79053924.53006972
0.0092,77607112.30983336
0.0093,76173719.8943305
0.0094,74753745.65301129
0.0095,73347187.95566987
0.0096,71954045.17246366
0.0097,70574315.6739038
0.0098,69207997.83085358
0.0099,67855090.01453084
0.01,66515590.59651016
0.0101,65189497.948719054
0.0102,63876810.443438664
0.0103,62577526.453304425
0.0104,61291644.35130438
0.0105,60019162.510786965
0.0106,58760079.30544609
0.0107,57514393.10933715
0.0108,56282102.29685709
0.0109,55063205.24276808
0.011,53857700.32218064
0.0111,52665585.91055806
0.0112,51486860.38371827
0.0113,50321522.11783155
0.0114,49169569.48942071
0.0115,48031000.875357956
0.0116,46905814.65287926
0.0117,45794009.19955962
0.0118,44695582.893332995
0.0119,43610534.11248591
0.012,42538861.23565134
0.0121,41480562.64182785
0.0122,40435636.7103481
0.0123,39404081.820910975
0.0124,38385896.35355815
0.0125,37381078.68868804
0.0126,36389627.20704924
0.0127,35411540.289737105
0.0128,34446816.318207964
0.0129,33495453.674261265
0.013,32557450.740049414
0.0131,31632805.898075722
0.0132,30721517.53119766
0.0133,29823584.022616096
0.0134,28939003.755889457
0.0135,28067775.114925906
0.0136,27209896.483977452
0.0137,26365366.247658476
0.0138,25534182.79091873
0.0139,24716344.499071244
0.014,23911849.75776814
0.0141,23120696.95302021
0.0142,22342884.471184216
0.0143,21578410.698962126
0.0144,20827274.02341388
0.0145,20089472.831943464
0.0146,19365005.5123059
0.0147,18653870.452604894
0.0148,17956066.04129164
0.0149,17271590.667168878
0.015,16600442.719386667
0.0151,15942620.587444356
0.0152,15298122.661189832
0.0153,14666947.33081857
0.0154,14049092.986876197
0.0155,13444558.020254742
0.0156,12853340.82219711
0.0157,12275439.784290057
0.0158,11710853.29847245
0.0159,11159579.757028278
0.016,10621617.552590694
0.0161,10096965.078140235
0.0162,9585620.727004154
0.0163,9087582.892857675
0.0164,8602849.969724612
0.0165,8131420.351972439
0.0166,7673292.4343182705
0.0167,7228464.611828535
0.0168,6796935.279911041
0.0169,6378702.834325161
0.017,5973765.671172529
0.0171,5582122.186905514
0.0172,5203770.778320353
0.0173,4838709.842560799
0.0174,4486937.777115245
0.0175,4148452.979820283
