omega_ash,alpha_mu,loglike,chi2,aic,bic
0.02,0.07,116.85403255349271,0.0,-217.70806510698543,-199.6066260906549
0.019,0.07,116.8455910216395,0.016883063706415007,-217.691182043279,-199.5897430269485
0.021,0.07,116.84558323000374,0.016898646977954932,-217.69116646000748,-199.58972744367696
0.018000000000000002,0.07,116.82028199163369,0.06750112371804279,-217.64056398326738,-199.53912496693687
0.022,0.07,116.82021965852223,0.06762578994097075,-217.64043931704447,-199.53900030071395
0.02,0.075,116.81673914284318,0.0745868212990925,-217.63347828568635,-199.53203926935583
0.02,0.065,116.81662098588453,0.07482313521636198,-217.63324197176905,-199.53180295543854
0.019,0.075,116.8137595705727,0.0805459658400035,-217.6275191411454,-199.52608012481488
0.021,0.065,116.81362683849,0.08081143000546068,-217.62725367698,-199.52581466064947
0.021,0.075,116.8028237087992,0.10241768938701837,-217.6056474175984,-199.50420840126787
0.019,0.065,116.80272842368365,0.10260825961814488,-217.6054568473673,-199.50401783103678
0.018000000000000002,0.075,116.79390835334942,0.1202484002866078,-217.58781670669885,-199.48637769036833
0.022,0.065,116.79372259302295,0.12061992093953236,-217.5874451860459,-199.48600616971538
0.017,0.07,116.77812878526723,0.15180753645097345,-217.55625757053446,-199.45481855420394
0.023,0.07,116.77791841087384,0.15222828523777068,-217.55583682174768,-199.45439780541716
0.022,0.075,116.77198987161304,0.16408536375936597,-217.5439797432261,-199.44254072689557
0.018000000000000002,0.065,116.77197250490903,0.16412009716736162,-217.54394500981806,-199.44250599348754
0.017,0.075,116.75720881713178,0.19364747272188937,-217.51441763426357,-199.41297861793305
0.023,0.065,116.75688482548779,0.1942954560098316,-217.51376965097558,-199.41233063464506
0.017,0.065,116.72437654719025,0.25931201260493375,-217.4487530943805,-199.34731407804998
0.023,0.075,116.7242141989274,0.25963670913062026,-217.4484283978548,-199.34698938152428
0.016,0.07,116.71915468899746,0.2697557289905076,-217.43830937799493,-199.3368703616644
0.024,0.07,116.71865602329692,0.2707530603916237,-217.43731204659383,-199.33587303026331
0.019,0.08,116.70758672147954,0.2928916640263638,-217.4151734429591,-199.31373442662857
0.021,0.06,116.7065982223408,0.294868662303845,-217.4131964446816,-199.3117574283511
0.02,0.08,116.70509346659836,0.2978781737887053,-217.4101869331967,-199.3087479168662
0.02,0.06,116.70414819042361,0.29976872613823713,-217.40829638084722,-199.3068573645167
0.016,0.075,116.7036842525383,0.3006966019088583,-217.4073685050766,-199.30592948874607
0.024,0.065,116.70309007630709,0.3018849543712544,-217.40618015261418,-199.30474113628367
0.018000000000000002,0.08,116.69320417941606,0.3216567481533168,-217.3864083588321,-199.2849693425016
0.022,0.06,116.69214230084577,0.32378050529388613,-217.38428460169155,-199.28284558536103
0.021,0.08,116.68570104923486,0.3366630085157091,-217.37140209846973,-199.2699630821392
0.019,0.06,116.68481558940209,0.33843392818123913,-217.36963117880418,-199.26819216247367
0.017,0.08,116.6619691705371,0.3841267659112186,-217.3239383410742,-199.2224993247437
0.023,0.06,116.66075700611748,0.38655109475050076,-217.32151401223496,-199.22007499590444
0.016,0.065,116.65996383282763,0.38813744133018035,-217.31992766565526,-199.21848864932474
0.024,0.075,116.65947322279234,0.38911866140074325,-217.3189464455847,-199.21750742925417
0.022,0.08,116.64938606837967,0.40929297022608885,-217.29877213675934,-199.19733312042882
0.018000000000000002,0.06,116.64862376813431,0.4108175707167741,-217.29724753626863,-199.1958085199381
0.015,0.07,116.64338295400998,0.42129919896545376,-217.28676590801996,-199.18532689168944
0.025,0.07,116.64240899637872,0.42324711422800676,-217.28481799275744,-199.18337897642692
0.015,0.075,116.63335791491028,0.4413492771648604,-217.26671582982055,-199.16527681349004
0.025,0.065,116.63231485025773,0.4434354064699767,-217.26462970051546,-199.16319068418494
0.016,0.08,116.61390498962643,0.4802551277325885,-217.22780997925287,-199.12637096292235
0.024,0.06,116.61241888275845,0.4832273414685607,-217.2248377655169,-199.12339874918638
0.023,0.08,116.59612508748853,0.5158149320083713,-217.19225017497706,-199.09081115864655
0.017,0.06,116.59559604009158,0.5168730268022732,-217.19119208018316,-199.08975306385264
0.015,0.065,116.57875760885514,0.5505498892751346,-217.15751521771028,-199.05607620137977
