index,probe,x,z,k,unit,observed,truth
0,SN_mu,0.01,0.01,0.0,mag,33.175530387032985,33.175530387032985
1,SN_mu,0.05,0.05,0.0,mag,36.73558711031276,36.73558711031276
2,SN_mu,0.1,0.1,0.0,mag,38.31705100712166,38.31705100712166
3,SN_mu,0.2,0.2,0.0,mag,39.95945542291152,39.95945542291152
4,SN_mu,0.35,0.35,0.0,mag,41.348457415945276,41.348457415945276
5,SN_mu,0.5,0.5,0.0,mag,42.26635446055969,42.26635446055969
6,SN_mu,0.7,0.7,0.0,mag,43.15247592081393,43.15247592081393
7,SN_mu,0.9,0.9,0.0,mag,43.82330389744514,43.82330389744514
8,SN_mu,1.1,1.1,0.0,mag,44.361790107651416,44.361790107651416
9,SN_mu,1.3,1.3,0.0,mag,44.81047042111809,44.81047042111809
10,BAO_DM_rd,0.38,0.38,0.0,dimensionless,10.094563509446258,10.094563509446258
11,BAO_DH_rd,0.38,0.38,0.0,dimensionless,23.941447532625325,23.941447532625325
12,BAO_DM_rd,0.51,0.51,0.0,dimensionless,13.092206963999528,13.092206963999528
13,BAO_DH_rd,0.51,0.51,0.0,dimensionless,22.1891683536396,22.1891683536396
14,BAO_DM_rd,0.7,0.7,0.0,dimensionless,17.07786554688564,17.07786554688564
15,BAO_DH_rd,0.7,0.7,0.0,dimensionless,19.805392545532804,19.805392545532804
16,BAO_DM_rd,0.93,0.93,0.0,dimensionless,21.333728091058425,21.333728091058425
17,BAO_DH_rd,0.93,0.93,0.0,dimensionless,17.268083141826864,17.268083141826864
18,BAO_DM_rd,1.32,1.32,0.0,dimensionless,27.364661385387436,27.364661385387436
19,BAO_DH_rd,1.32,1.32,0.0,dimensionless,13.829939716797512,13.829939716797512
20,BAO_DM_rd,2.33,2.33,0.0,dimensionless,38.302008929570185,38.302008929570185
21,BAO_DH_rd,2.33,2.33,0.0,dimensionless,8.486488282354008,8.486488282354008
22,GROWTH_fsigma8,0.15,0.15,0.02,dimensionless,0.4643231472238026,0.4643231472238026
23,GROWTH_fsigma8,0.15,0.15,0.05,dimensionless,0.47883863289643624,0.47883863289643624
24,GROWTH_fsigma8,0.15,0.15,0.1,dimensionless,0.47016343979462,0.47016343979462
25,GROWTH_fsigma8,0.15,0.15,0.2,dimensionless,0.47088279483869516,0.47088279483869516
26,GROWTH_fsigma8,0.38,0.38,0.02,dimensionless,0.5222540953167624,0.5222540953167624
27,GROWTH_fsigma8,0.38,0.38,0.05,dimensionless,0.5385805952626951,0.5385805952626951
28,GROWTH_fsigma8,0.38,0.38,0.1,dimensionless,0.5288230478473311,0.5288230478473311
29,GROWTH_fsigma8,0.38,0.38,0.2,dimensionless,0.5296321527132015,0.5296321527132015
30,GROWTH_fsigma8,0.61,0.61,0.02,dimensionless,0.5582156979734606,0.5582156979734606
31,GROWTH_fsigma8,0.61,0.61,0.05,dimensionless,0.5756664152478839,0.5756664152478839
32,GROWTH_fsigma8,0.61,0.61,0.1,dimensionless,0.565236978332367,0.565236978332367
33,GROWTH_fsigma8,0.61,0.61,0.2,dimensionless,0.5661017968976702,0.5661017968976702
34,GROWTH_fsigma8,0.85,0.85,0.02,dimensionless,0.5789256360640771,0.5789256360640771
35,GROWTH_fsigma8,0.85,0.85,0.05,dimensionless,0.5970237791914497,0.5970237791914497
36,GROWTH_fsigma8,0.85,0.85,0.1,dimensionless,0.5862074076310912,0.5862074076310912
37,GROWTH_fsigma8,0.85,0.85,0.2,dimensionless,0.5871043111753945,0.5871043111753945
38,GROWTH_fsigma8,1.1,1.1,0.02,dimensionless,0.5886410617025083,0.5886410617025083
39,GROWTH_fsigma8,1.1,1.1,0.05,dimensionless,0.6070429246045709,0.6070429246045709
40,GROWTH_fsigma8,1.1,1.1,0.1,dimensionless,0.5960450346469849,0.5960450346469849
41,GROWTH_fsigma8,1.1,1.1,0.2,dimensionless,0.5969569898648481,0.5969569898648481
42,CMB_lowell_Dl,2.0,1089.0,0.0,uK^2_proxy,178.59785755752492,178.59785755752492
43,CMB_lowell_Dl,3.0,1089.0,0.0,uK^2_proxy,88.58891822585481,88.58891822585481
44,CMB_lowell_Dl,4.0,1089.0,0.0,uK^2_proxy,52.4379243544551,52.4379243544551
45,CMB_lowell_Dl,5.0,1089.0,0.0,uK^2_proxy,34.5359594058882,34.5359594058882
46,CMB_lowell_Dl,6.0,1089.0,0.0,uK^2_proxy,24.510246554612273,24.510246554612273
47,CMB_lowell_Dl,7.0,1089.0,0.0,uK^2_proxy,18.340396581735796,18.340396581735796
48,CMB_lowell_Dl,8.0,1089.0,0.0,uK^2_proxy,14.211363148537584,14.211363148537584
49,CMB_lowell_Dl,9.0,1089.0,0.0,uK^2_proxy,11.26462904456857,11.26462904456857
50,CMB_lowell_Dl,10.0,1089.0,0.0,uK^2_proxy,9.094051083253888,9.094051083253888
51,CMB_lowell_Dl,11.0,1089.0,0.0,uK^2_proxy,7.489996006090886,7.489996006090886
52,CMB_lowell_Dl,12.0,1089.0,0.0,uK^2_proxy,6.3111547132134564,6.3111547132134564
53,CMB_lowell_Dl,13.0,1089.0,0.0,uK^2_proxy,5.436766182888699,5.436766182888699
54,CMB_lowell_Dl,14.0,1089.0,0.0,uK^2_proxy,4.761905314011004,4.761905314011004
55,CMB_lowell_Dl,15.0,1089.0,0.0,uK^2_proxy,4.2070904992794205,4.2070904992794205
56,CMB_lowell_Dl,16.0,1089.0,0.0,uK^2_proxy,3.7249349675302157,3.7249349675302157
57,CMB_lowell_Dl,17.0,1089.0,0.0,uK^2_proxy,3.297241201951861,3.297241201951861
58,CMB_lowell_Dl,18.0,1089.0,0.0,uK^2_proxy,2.9239766081903835,2.9239766081903835
59,CMB_lowell_Dl,19.0,1089.0,0.0,uK^2_proxy,2.609823019613778,2.609823019613778
60,CMB_lowell_Dl,20.0,1089.0,0.0,uK^2_proxy,2.354206609278739,2.354206609278739
61,CMB_lowell_Dl,21.0,1089.0,0.0,uK^2_proxy,2.1479834719358064,2.1479834719358064
62,CMB_lowell_Dl,22.0,1089.0,0.0,uK^2_proxy,1.976284584980237,1.976284584980237
63,CMB_lowell_Dl,23.0,1089.0,0.0,uK^2_proxy,1.824356680995599,1.824356680995599
64,CMB_lowell_Dl,24.0,1089.0,0.0,uK^2_proxy,1.6826205369156297,1.6826205369156297
65,CMB_lowell_Dl,25.0,1089.0,0.0,uK^2_proxy,1.5484665402889017,1.5484665402889017
66,CMB_lowell_Dl,26.0,1089.0,0.0,uK^2_proxy,1.4245014245014245,1.4245014245014245
67,CMB_lowell_Dl,27.0,1089.0,0.0,uK^2_proxy,1.3148105059839899,1.3148105059839899
68,CMB_lowell_Dl,28.0,1089.0,0.0,uK^2_proxy,1.2214815334167783,1.2214815334167783
69,CMB_lowell_Dl,29.0,1089.0,0.0,uK^2_proxy,1.1430555113703917,1.1430555113703917
70,CMB_lowell_Dl,30.0,1089.0,0.0,uK^2_proxy,1.075268817204301,1.075268817204301
