memory_hash,memory_length,memory_record,measure,leaf_count
cc1d2f838445db7a,0,EMPTY,0.08930517556239373,36
15b6f910cc830186,1,t3:q1:r1,0.048483370588667495,18
31563140965101ea,1,t3:q2:r2,0.04546408913490413,18
551c21015b186952,1,t4:q2:r2,0.03703051481914203,18
3f52a1fd3d4d81fc,1,t3:q4:r1,0.032869641308574685,18
6af09efde58bb5db,1,t4:q3:r0,0.032530191307427896,18
fb35b0c7b0cee53e,1,t1:q2:r2,0.03077492164787395,12
fe3f5fcb885a05fa,1,t2:q2:r2,0.027143322272118037,12
2ffec9582e9065a6,1,t1:q4:r1,0.022249662428373645,12
28d166f7e83150e8,2,t3:q1:r1|t4:q2:r0,0.020103696809948748,9
de2188d0f8b87475,1,t4:q4:r1,0.018866144287676308,18
8ed4ef8a54f30fb9,2,t3:q2:r2|t4:q2:r0,0.018851747570583194,9
56c0b34234df91fd,2,t3:q1:r1|t4:q3:r1,0.01766049179732448,9
c1a7b2d0a0d6da4f,2,t1:q2:r2|t3:q1:r2,0.016707563942345443,6
6afc4ff1c5512eea,2,t3:q2:r2|t4:q3:r1,0.016560692119608478,9
5414840783ac360c,2,t1:q2:r2|t3:q2:r0,0.015667107444865866,6
eaaa253cf539913f,2,t2:q2:r2|t3:q1:r2,0.014735985282368082,6
fdcbd870a065ef15,1,t2:q4:r1,0.013828860790451784,12
de0a5bca19ac9ba3,2,t2:q2:r2|t3:q2:r0,0.013818308014352734,6
a6cad113bc5fd26b,2,t3:q4:r1|t4:q2:r0,0.01362944232416481,9
a0110e55154bb9e7,2,t1:q2:r2|t4:q2:r0,0.012760863913685867,6
c41e2e63bfff5da2,2,t1:q4:r1|t3:q1:r2,0.012079239777474292,6
afb379d7c1417e66,2,t3:q4:r1|t4:q3:r1,0.011973054341373817,9
4a595277a53adea1,2,t1:q2:r2|t3:q4:r2,0.01132701021519601,6
d196bf15e10fef7a,2,t1:q4:r1|t3:q2:r0,0.011327010215196009,6
15bd5c58c3d39ab6,2,t2:q2:r2|t4:q2:r0,0.01125501619932624,6
759602478b982b6b,2,t1:q2:r2|t4:q3:r1,0.011210034383472076,6
