branch_i,branch_j,tree_distance,memory_divergence,observation_count_distance,magnitude,real,imag,phase,suppressed
b0.0.0.0.0,b0.0.0.0.1,2,0,0,0.0015691081499510482,0.001565299846702806,-0.0001092555543438099,-0.0696854641889044,False
b0.0.0.0.0,b0.0.0.0.2,2,1,1,0.00026404343853411955,0.00026299897371257955,-2.346225178986971e-05,-0.08897489422943232,True
b0.0.0.0.0,b0.0.0.0.3,2,1,1,0.000247479262700656,0.0002454595097074486,-3.1553360534802575e-05,-0.12784699707906633,True
b0.0.0.0.0,b0.0.0.0.4,2,1,1,0.00018846776509897603,0.00018052857852340272,-5.412514034829313e-05,-0.29128688103799616,True
b0.0.0.0.0,b0.0.0.1.0,4,1,1,7.431127423505474e-05,7.41309170894627e-05,-5.174225537480679e-06,-0.06968546418890433,True
b0.0.0.0.0,b0.0.0.1.1,4,1,1,6.6162923579085e-05,6.552138027489233e-05,-9.191364610589277e-06,-0.13937092837780873,True
b0.0.0.0.0,b0.0.0.1.2,4,2,2,1.1133640371338833e-05,1.0993799919345407e-05,-1.7590654483863866e-06,-0.15866035841833664,True
b0.0.0.0.0,b0.0.0.1.3,4,2,2,1.043519629031474e-05,1.0232271563264629e-05,-2.0479111975387326e-06,-0.19753246126797067,True
b0.0.0.0.0,b0.0.0.1.4,4,2,2,7.946920892453149e-06,7.434772429732764e-06,-2.8067259554495034e-06,-0.36097234522690047,True
b0.0.0.0.0,b0.0.0.2.0,4,1,1,7.19602317425697e-05,7.167558187199446e-05,-6.394209548908664e-06,-0.08897489422943232,True
b0.0.0.0.0,b0.0.0.2.1,4,1,1,6.406967667459187e-05,6.326495043533666e-05,-1.0122722736553524e-05,-0.15866035841833673,True
b0.0.0.0.0,b0.0.0.2.2,4,2,2,1.0781396894443687e-05,1.0611144333813167e-05,-1.9084378225409165e-06,-0.1779497884588647,True
b0.0.0.0.0,b0.0.0.2.3,4,2,2,1.0105050021817855e-05,9.868451160353596e-06,-2.1738692783046555e-06,-0.21682189130849863,True
b0.0.0.0.0,b0.0.0.2.4,4,2,2,7.695498091607666e-06,7.145789469994609e-06,-2.8562884532993855e-06,-0.38026177526742855,True
b0.0.0.0.0,b0.0.0.3.0,4,0,0,0.000325814040739036,0.00031702142708038897,-7.518114068442846e-05,-0.23284699707906628,True
b0.0.0.0.0,b0.0.0.3.1,4,0,0,0.0002900880075104508,0.00027691367021979497,-8.642841747241474e-05,-0.30253246126797073,True
b0.0.0.0.0,b0.0.0.3.2,4,1,1,4.881488569348169e-05,4.630876543485667e-05,-1.5439925814818766e-05,-0.32182189130849864,True
b0.0.0.0.0,b0.0.0.3.3,4,1,1,4.5752592782867394e-05,4.280851052706473e-05,-1.6147172285235513e-05,-0.3606939941581326,True
b0.0.0.0.0,b0.0.0.3.4,4,1,1,3.484287457127495e-05,3.016548794502358e-05,-1.743758140993858e-05,-0.5241338781170625,True
b0.0.0.0.0,b0.0.0.4.0,4,1,1,6.118652495689647e-05,6.0127919725037946e-05,-1.1332436006450988e-05,-0.18628688103799612,True
b0.0.0.0.0,b0.0.0.4.1,4,1,1,5.44773241539065e-05,5.270232048045627e-05,-1.3792906254487659e-05,-0.25597234522690054,True
b0.0.0.0.0,b0.0.0.4.2,4,2,2,9.167232986575254e-06,8.822124070436697e-06,-2.4916435371005427e-06,-0.2752617752674285,True
b0.0.0.0.0,b0.0.0.4.3,4,2,2,8.592147084274605e-06,8.17168487699264e-06,-2.65491201152475e-06,-0.31413387811706245,True
b0.0.0.0.0,b0.0.0.4.4,4,2,2,6.543347271620209e-06,5.811229793616921e-06,-3.007490948082584e-06,-0.4775737620759922,True
b0.0.0.0.0,b0.0.1.0.0,6,0,0,0.00011654327690213788,0.00011626042059296566,-8.114800960905369e-06,-0.0696854641889044,True
b0.0.0.0.0,b0.0.1.0.1,6,0,0,0.00010376411927673376,0.00010275797909524876,-1.441492912007026e-05,-0.1393709283778088,True
b0.0.0.0.0,b0.0.1.0.2,6,1,1,1.7461023863235966e-05,1.7241710378350226e-05,-2.758763777779098e-06,-0.15866035841833678,True
b0.0.0.0.0,b0.0.1.0.3,6,1,1,1.63656455000824e-05,1.6047396177912444e-05,-3.2117640859017567e-06,-0.19753246126797072,True
b0.0.0.0.0,b0.0.1.0.4,6,1,1,1.2463252872760672e-05,1.1660044197896235e-05,-4.401822517262992e-06,-0.36097234522690064,True
b0.0.0.0.0,b0.0.1.1.0,6,1,1,1.8031500195380375e-05,1.785665924837978e-05,-2.504939077753264e-06,-0.1393709283778088,True
b0.0.0.0.0,b0.0.1.1.1,6,1,1,1.6054317217997966e-05,1.5704769516608377e-05,-3.331863707643851e-06,-0.20905639256671318,True
b0.0.0.0.0,b0.0.1.1.2,6,2,2,2.701558284360418e-06,2.6314317152278513e-06,-6.11542551168284e-07,-0.22834582260724112,True
b0.0.0.0.0,b0.0.1.1.3,6,2,2,2.532082054635006e-06,2.442216518857012e-06,-6.685940520424725e-07,-0.2672179254568751,True
b0.0.0.0.0,b0.0.1.1.4,6,2,2,1.928306398995175e-06,1.7522353092330713e-06,-8.050074468491721e-07,-0.43065780941580495,True
b0.0.0.0.0,b0.0.1.2.0,6,1,1,1.7461023863235966e-05,1.7241710378350226e-05,-2.758763777779097e-06,-0.15866035841833673,True
b0.0.0.0.0,b0.0.1.2.1,6,1,1,1.5546394532565912e-05,1.5142843990176544e-05,-3.5191844014443787e-06,-0.22834582260724112,True
b0.0.0.0.0,b0.0.1.2.2,6,2,2,2.6160870232652868e-06,2.5362826605779653e-06,-6.412344180941837e-07,-0.24763525264776903,True
b0.0.0.0.0,b0.0.1.2.3,6,2,2,2.4519726423528863e-06,2.352022289025108e-06,-6.929364983720263e-07,-0.286507355497403,True
b0.0.0.0.0,b0.0.1.2.4,6,2,2,1.8672990978926754e-06,1.68144691226368e-06,-8.121220365374505e-07,-0.44994723945633286,True
