branch_id,parent_id,depth,weight,phase,observation_token,memory_length,memory_record,memory_hash
b0.0.0.0.0,b0.0.0.0,4,0.006466595944432005,1.0333333333333334,,0,EMPTY,cc1d2f838445db7a
b0.0.0.0.1,b0.0.0.0,4,0.005126201621549004,1.2656182139630148,,0,EMPTY,cc1d2f838445db7a
b0.0.0.0.2,b0.0.0.0,4,0.004806969577731234,1.3299163140981078,t4:q2:r2,1,t4:q2:r2,551c21015b186952
b0.0.0.0.3,b0.0.0.0,4,0.004222777909956315,1.4594899902635545,t4:q3:r0,1,t4:q3:r0,6af09efde58bb5db
b0.0.0.0.4,b0.0.0.0,4,0.002449033778840915,2.0042896034599873,t4:q4:r1,1,t4:q4:r1,de2188d0f8b87475
b0.0.0.1.0,b0.0.0.1,4,0.0051262016215490045,1.2656182139630145,,1,t3:q1:r1,15b6f910cc830186
b0.0.0.1.1,b0.0.0.1,4,0.004063643884754851,1.4979030945926959,,1,t3:q1:r1,15b6f910cc830186
b0.0.0.1.2,b0.0.0.1,4,0.003810582175823106,1.562201194727789,t4:q2:r0,2,t3:q1:r1|t4:q2:r0,28d166f7e83150e8
b0.0.0.1.3,b0.0.0.1,4,0.00334748160476891,1.6917748708932356,t4:q3:r1,2,t3:q1:r1|t4:q3:r1,56c0b34234df91fd
b0.0.0.1.4,b0.0.0.1,4,0.0019413986951097944,2.2365744840896684,t4:q4:r2,2,t3:q1:r1|t4:q4:r2,643fee9606a09da1
b0.0.0.2.0,b0.0.0.2,4,0.004806969577731234,1.3299163140981078,,1,t3:q2:r2,31563140965101ea
b0.0.0.2.1,b0.0.0.2,4,0.0038105821758231055,1.5622011947277892,,1,t3:q2:r2,31563140965101ea
b0.0.0.2.2,b0.0.0.2,4,0.003573279778076996,1.6264992948628825,t4:q2:r0,2,t3:q2:r2|t4:q2:r0,8ed4ef8a54f30fb9
b0.0.0.2.3,b0.0.0.2,4,0.003139018599755491,1.756072971028329,t4:q3:r1,2,t3:q2:r2|t4:q3:r1,6afc4ff1c5512eea
b0.0.0.2.4,b0.0.0.2,4,0.0018204989102281813,2.300872584224762,t4:q4:r2,2,t3:q2:r2|t4:q4:r2,94386422d54541ce
b0.0.0.3.0,b0.0.0.3,4,0.0029757412986734966,1.8094899902635544,,0,EMPTY,cc1d2f838445db7a
b0.0.0.3.1,b0.0.0.3,4,0.002358930417433136,2.041774870893236,,0,EMPTY,cc1d2f838445db7a
b0.0.0.3.2,b0.0.0.3,4,0.0022120290206532073,2.106072971028329,t4:q2:r2,1,t4:q2:r2,551c21015b186952
b0.0.0.3.3,b0.0.0.3,4,0.0019432008323641884,2.2356466471937755,t4:q3:r0,1,t4:q3:r0,6af09efde58bb5db
b0.0.0.3.4,b0.0.0.3,4,0.0011269748442870185,2.7804462603902085,t4:q4:r1,1,t4:q4:r1,de2188d0f8b87475
b0.0.0.4.0,b0.0.0.4,4,0.003475344360961859,1.6542896034599872,,1,t3:q4:r1,3f52a1fd3d4d81fc
b0.0.0.4.1,b0.0.0.4,4,0.002754975887111604,1.8865744840896685,,1,t3:q4:r1,3f52a1fd3d4d81fc
b0.0.0.4.2,b0.0.0.4,4,0.0025834109257542016,1.9508725842247618,t4:q2:r0,2,t3:q4:r1|t4:q2:r0,a6cad113bc5fd26b
b0.0.0.4.3,b0.0.0.4,4,0.0022694486439341025,2.0804462603902083,t4:q3:r1,2,t3:q4:r1|t4:q3:r1,afb379d7c1417e66
b0.0.0.4.4,b0.0.0.4,4,0.0013161848685518068,2.625245873586641,t4:q4:r2,2,t3:q4:r1|t4:q4:r2,2ff0eefb8ad065d6
b0.0.1.0.0,b0.0.1.0,4,0.0051262016215490045,1.2656182139630148,,0,EMPTY,cc1d2f838445db7a
b0.0.1.0.1,b0.0.1.0,4,0.004063643884754851,1.497903094592696,,0,EMPTY,cc1d2f838445db7a
b0.0.1.0.2,b0.0.1.0,4,0.003810582175823106,1.5622011947277894,t4:q2:r2,1,t4:q2:r2,551c21015b186952
b0.0.1.0.3,b0.0.1.0,4,0.00334748160476891,1.6917748708932359,t4:q3:r0,1,t4:q3:r0,6af09efde58bb5db
b0.0.1.0.4,b0.0.1.0,4,0.0019413986951097944,2.236574484089669,t4:q4:r1,1,t4:q4:r1,de2188d0f8b87475
b0.0.1.1.0,b0.0.1.1,4,0.004063643884754851,1.497903094592696,,1,t3:q1:r1,15b6f910cc830186
b0.0.1.1.1,b0.0.1.1,4,0.0032213328388584982,1.7301879752223774,,1,t3:q1:r1,15b6f910cc830186
b0.0.1.1.2,b0.0.1.1,4,0.003020725695034266,1.7944860753574705,t4:q2:r0,2,t3:q1:r1|t4:q2:r0,28d166f7e83150e8
b0.0.1.1.3,b0.0.1.1,4,0.0026536164897154537,1.9240597515229172,t4:q3:r1,2,t3:q1:r1|t4:q3:r1,56c0b34234df91fd
