alpha_mu,chi2,n
0.0,65.66928563726981,48
0.005,59.75896632148047,48
0.01,54.295688716898006,48
0.015,49.2775010781104,48
0.02,44.70246670744893,48
0.025,40.568663787532095,48
0.03,36.87418521624853,48
0.035,33.617138444130994,48
0.04,30.795645314077237,48
0.045,28.40784190337909,48
0.05,26.451878368019393,48
0.055,24.925918789193762,48
0.06,23.828141022019683,48
0.065,23.15673654639388,48
0.07,22.909910319960723,48
0.075,23.085880633156147,48
0.08,23.68287896628725,48
0.085,24.699149848615626,48
0.09,26.132950719409255,48
0.095,27.982551790928316,48
0.1,30.246235913312844,48
0.105,32.92229844133453,48
0.11,36.00904710299217,48
0.115,39.50480186990611,48
0.12,43.40789482949177,48
0.125,47.716670058876836,48
0.13,52.42948350052866,48
0.135,57.54470283958022,48
0.14,63.06070738280083,48
0.145,68.97588793920832,48
0.15,75.28864670227827,48
