branch_id,parent_id,depth,shell_q,action,defect_count,coherence_loss,observation_token,memory_length,memory_record,memory_hash,measure,phase
b0.0.0.0.0,b0.0.0.0,4,0,0.4133333333333333,0,1.6666666666666663,,0,EMPTY,cc1d2f838445db7a,0.0074389084478966,1.0333333333333334
b0.0.0.0.1,b0.0.0.0,4,1,0.6663401289144566,0,2.0,,0,EMPTY,cc1d2f838445db7a,0.0057760342339764,1.2863401289144567
b0.0.0.0.2,b0.0.0.0,4,2,0.7526802578289131,0,1.5,t4:q2:r2,1,t4:q2:r2,551c21015b186952,0.0052982532967784,1.3726802578289132
b0.0.0.0.3,b0.0.0.0,4,3,0.9056870534100364,0,1.3333333333333333,t4:q3:r0,1,t4:q3:r0,6af09efde58bb5db,0.0045465577310439,1.5256870534100366
b0.0.0.0.4,b0.0.0.0,4,4,1.4753605156578264,1,1.5,t4:q4:r1,1,t4:q4:r1,de2188d0f8b87475,0.0025720337844428,2.0953605156578266
b0.0.0.1.0,b0.0.0.1,4,0,0.4133333333333333,0,2.0,,1,t3:q1:r1,15b6f910cc830186,0.0057760342339764,1.2863401289144565
b0.0.0.1.1,b0.0.0.1,4,1,0.6663401289144566,0,2.333333333333333,,1,t3:q1:r1,15b6f910cc830186,0.0044848745895644,1.5393469244955795
b0.0.0.1.2,b0.0.0.1,4,2,0.7526802578289131,0,1.8333333333333333,t4:q2:r0,2,t3:q1:r1|t4:q2:r0,28d166f7e83150e8,0.0041138955583092,1.6256870534100365
b0.0.0.1.3,b0.0.0.1,4,3,0.9056870534100364,0,1.6666666666666667,t4:q3:r1,2,t3:q1:r1|t4:q3:r1,56c0b34234df91fd,0.0035302320609531,1.7786938489911597
b0.0.0.1.4,b0.0.0.1,4,4,1.4753605156578264,1,1.8333333333333333,t4:q4:r2,2,t3:q1:r1|t4:q4:r2,643fee9606a09da1,0.0019970880531654,2.34836731123895
b0.0.0.2.0,b0.0.0.2,4,0,0.4133333333333333,0,1.5,,1,t3:q2:r2,31563140965101ea,0.0052982532967784,1.3726802578289132
b0.0.0.2.1,b0.0.0.2,4,1,0.6663401289144566,0,1.8333333333333333,,1,t3:q2:r2,31563140965101ea,0.0041138955583092,1.6256870534100365
b0.0.0.2.2,b0.0.0.2,4,2,0.7526802578289131,0,1.3333333333333333,t4:q2:r0,2,t3:q2:r2|t4:q2:r0,8ed4ef8a54f30fb9,0.0037736031023155,1.712027182324493
b0.0.0.2.3,b0.0.0.2,4,3,0.9056870534100364,0,1.1666666666666663,t4:q3:r1,2,t3:q2:r2|t4:q3:r1,6afc4ff1c5512eea,0.0032382189747621,1.8650339779056164
b0.0.0.2.4,b0.0.0.2,4,4,1.4753605156578264,1,1.3333333333333333,t4:q4:r2,2,t3:q2:r2|t4:q4:r2,94386422d54541ce,0.0018318932909711,2.4347074401534066
b0.0.0.3.0,b0.0.0.3,4,0,0.4133333333333333,1,1.3333333333333333,,0,EMPTY,cc1d2f838445db7a,0.0032039050822851,1.8756870534100365
b0.0.0.3.1,b0.0.0.3,4,1,0.6663401289144566,1,1.6666666666666663,,0,EMPTY,cc1d2f838445db7a,0.0024877124872968,2.12869384899116
b0.0.0.3.2,b0.0.0.3,4,2,0.7526802578289131,1,1.1666666666666663,t4:q2:r2,1,t4:q2:r2,551c21015b186952,0.002281934343416,2.215033977905616
b0.0.0.3.3,b0.0.0.3,4,3,0.9056870534100364,1,1.0,t4:q3:r0,1,t4:q3:r0,6af09efde58bb5db,0.001958182376275,2.36804077348674
b0.0.0.3.4,b0.0.0.3,4,4,1.4753605156578264,2,1.1666666666666663,t4:q4:r1,1,t4:q4:r1,de2188d0f8b87475,0.0011077636149851,2.9377142357345294
