state_index,x1_to_x8,x9_parity,hamming_weight_8,weight_sector
0,00000000,0,0,0
1,00000001,1,1,1
2,00000010,1,1,1
3,00000011,0,2,0
4,00000100,1,1,1
5,00000101,0,2,0
6,00000110,0,2,0
7,00000111,1,3,1
8,00001000,1,1,1
9,00001001,0,2,0
10,00001010,0,2,0
11,00001011,1,3,1
12,00001100,0,2,0
13,00001101,1,3,1
14,00001110,1,3,1
15,00001111,0,4,0
16,00010000,1,1,1
17,00010001,0,2,0
18,00010010,0,2,0
19,00010011,1,3,1
20,00010100,0,2,0
21,00010101,1,3,1
22,00010110,1,3,1
23,00010111,0,4,0
24,00011000,0,2,0
25,00011001,1,3,1
26,00011010,1,3,1
27,00011011,0,4,0
28,00011100,1,3,1
29,00011101,0,4,0
30,00011110,0,4,0
31,00011111,1,5,1
32,00100000,1,1,1
33,00100001,0,2,0
34,00100010,0,2,0
35,00100011,1,3,1
36,00100100,0,2,0
37,00100101,1,3,1
38,00100110,1,3,1
39,00100111,0,4,0
40,00101000,0,2,0
41,00101001,1,3,1
42,00101010,1,3,1
43,00101011,0,4,0
44,00101100,1,3,1
45,00101101,0,4,0
46,00101110,0,4,0
47,00101111,1,5,1
48,00110000,0,2,0
49,00110001,1,3,1
50,00110010,1,3,1
51,00110011,0,4,0
52,00110100,1,3,1
53,00110101,0,4,0
54,00110110,0,4,0
55,00110111,1,5,1
56,00111000,1,3,1
57,00111001,0,4,0
58,00111010,0,4,0
59,00111011,1,5,1
60,00111100,0,4,0
61,00111101,1,5,1
62,00111110,1,5,1
63,00111111,0,6,0
64,01000000,1,1,1
65,01000001,0,2,0
66,01000010,0,2,0
67,01000011,1,3,1
68,01000100,0,2,0
69,01000101,1,3,1
70,01000110,1,3,1
71,01000111,0,4,0
72,01001000,0,2,0
73,01001001,1,3,1
74,01001010,1,3,1
75,01001011,0,4,0
76,01001100,1,3,1
77,01001101,0,4,0
78,01001110,0,4,0
79,01001111,1,5,1
80,01010000,0,2,0
81,01010001,1,3,1
82,01010010,1,3,1
83,01010011,0,4,0
84,01010100,1,3,1
85,01010101,0,4,0
86,01010110,0,4,0
87,01010111,1,5,1
88,01011000,1,3,1
89,01011001,0,4,0
90,01011010,0,4,0
91,01011011,1,5,1
92,01011100,0,4,0
93,01011101,1,5,1
