index,bits,hamming_weight,integrity_valid,coset_id,coset_representative,nearest_code_distance,nearest_codeword_count,decoder_status
0,000000000,0,1,0,000000000,0,1,exact
1,000000001,1,0,1,000000001,1,1,corrected
2,000000010,1,0,2,000000010,1,1,corrected
3,000000011,2,1,3,000000011,2,1,uncorrectable
4,000000100,1,0,4,000000100,1,1,corrected
5,000000101,2,1,5,000000101,2,4,uncorrectable
6,000000110,2,1,6,000000110,2,1,uncorrectable
7,000000111,3,0,7,000000111,3,4,uncorrectable
8,000001000,1,0,8,000001000,1,1,corrected
9,000001001,2,1,9,000001001,2,4,uncorrectable
10,000001010,2,1,10,000001010,2,1,uncorrectable
11,000001011,3,0,11,000001011,3,4,uncorrectable
12,000001100,2,1,12,000001100,2,4,uncorrectable
13,000001101,3,0,13,000001101,1,1,corrected
14,000001110,3,0,14,000001110,3,4,uncorrectable
15,000001111,4,1,15,000001111,2,1,uncorrectable
16,000010000,1,0,13,000001101,1,1,corrected
17,000010001,2,1,12,000001100,2,4,uncorrectable
18,000010010,2,1,15,000001111,2,1,uncorrectable
19,000010011,3,0,14,000001110,3,4,uncorrectable
20,000010100,2,1,9,000001001,2,4,uncorrectable
21,000010101,3,0,8,000001000,1,1,corrected
22,000010110,3,0,11,000001011,3,4,uncorrectable
23,000010111,4,1,10,000001010,2,1,uncorrectable
24,000011000,2,1,5,000000101,2,4,uncorrectable
25,000011001,3,0,4,000000100,1,1,corrected
26,000011010,3,0,7,000000111,3,4,uncorrectable
27,000011011,4,1,6,000000110,2,1,uncorrectable
28,000011100,3,0,1,000000001,1,1,corrected
29,000011101,4,1,0,000000000,0,1,exact
30,000011110,4,1,3,000000011,2,1,uncorrectable
31,000011111,5,0,2,000000010,1,1,corrected
32,000100000,1,0,16,000100000,1,1,corrected
33,000100001,2,1,17,000100001,2,4,uncorrectable
34,000100010,2,1,18,000100010,2,1,uncorrectable
35,000100011,3,0,19,000100011,3,4,uncorrectable
36,000100100,2,1,20,000100100,2,4,uncorrectable
37,000100101,3,0,21,000100101,1,1,corrected
38,000100110,3,0,22,000100110,3,4,uncorrectable
39,000100111,4,1,23,000100111,2,1,uncorrectable
40,000101000,2,1,24,000101000,2,4,uncorrectable
41,000101001,3,0,25,000101001,1,1,corrected
42,000101010,3,0,26,000101010,3,4,uncorrectable
43,000101011,4,1,27,000101011,2,1,uncorrectable
44,000101100,3,0,28,000101100,1,1,corrected
45,000101101,4,1,29,000101101,2,4,uncorrectable
46,000101110,4,1,30,000101110,2,1,uncorrectable
47,000101111,5,0,31,000101111,3,4,uncorrectable
48,000110000,2,1,29,000101101,2,4,uncorrectable
49,000110001,3,0,28,000101100,1,1,corrected
50,000110010,3,0,31,000101111,3,4,uncorrectable
51,000110011,4,1,30,000101110,2,1,uncorrectable
52,000110100,3,0,25,000101001,1,1,corrected
53,000110101,4,1,24,000101000,2,4,uncorrectable
54,000110110,4,1,27,000101011,2,1,uncorrectable
55,000110111,5,0,26,000101010,3,4,uncorrectable
56,000111000,3,0,21,000100101,1,1,corrected
57,000111001,4,1,20,000100100,2,4,uncorrectable
58,000111010,4,1,23,000100111,2,1,uncorrectable
59,000111011,5,0,22,000100110,3,4,uncorrectable
60,000111100,4,1,17,000100001,2,4,uncorrectable
61,000111101,5,0,16,000100000,1,1,corrected
62,000111110,5,0,19,000100011,3,4,uncorrectable
63,000111111,6,1,18,000100010,2,1,uncorrectable
64,001000000,1,0,21,000100101,1,1,corrected
65,001000001,2,1,20,000100100,2,4,uncorrectable
66,001000010,2,1,23,000100111,2,1,uncorrectable
67,001000011,3,0,22,000100110,3,4,uncorrectable
68,001000100,2,1,17,000100001,2,4,uncorrectable
69,001000101,3,0,16,000100000,1,1,corrected
70,001000110,3,0,19,000100011,3,4,uncorrectable
71,001000111,4,1,18,000100010,2,1,uncorrectable
72,001001000,2,1,29,000101101,2,4,uncorrectable
73,001001001,3,0,28,000101100,1,1,corrected
74,001001010,3,0,31,000101111,3,4,uncorrectable
75,001001011,4,1,30,000101110,2,1,uncorrectable
76,001001100,3,0,25,000101001,1,1,corrected
77,001001101,4,1,24,000101000,2,4,uncorrectable
78,001001110,4,1,27,000101011,2,1,uncorrectable
79,001001111,5,0,26,000101010,3,4,uncorrectable
80,001010000,2,1,24,000101000,2,4,uncorrectable
81,001010001,3,0,25,000101001,1,1,corrected
82,001010010,3,0,26,000101010,3,4,uncorrectable
83,001010011,4,1,27,000101011,2,1,uncorrectable
84,001010100,3,0,28,000101100,1,1,corrected
85,001010101,4,1,29,000101101,2,4,uncorrectable
86,001010110,4,1,30,000101110,2,1,uncorrectable
87,001010111,5,0,31,000101111,3,4,uncorrectable
88,001011000,3,0,16,000100000,1,1,corrected
89,001011001,4,1,17,000100001,2,4,uncorrectable
90,001011010,4,1,18,000100010,2,1,uncorrectable
91,001011011,5,0,19,000100011,3,4,uncorrectable
92,001011100,4,1,20,000100100,2,4,uncorrectable
93,001011101,5,0,21,000100101,1,1,corrected
94,001011110,5,0,22,000100110,3,4,uncorrectable
95,001011111,6,1,23,000100111,2,1,uncorrectable
96,001100000,2,1,5,000000101,2,4,uncorrectable
97,001100001,3,0,4,000000100,1,1,corrected
98,001100010,3,0,7,000000111,3,4,uncorrectable
99,001100011,4,1,6,000000110,2,1,uncorrectable
